fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2019-2020,June,ASSAM,BONGAIGAON,372906.0,228.01534842374537,16.0,27.0,742.0,1549.0,19915.0,11524.0,3607.0,2513.0,653.69065368,21895.0,31097.0,62329.0,166401.0,22.0,121667.0,297061.0,2291.0,624.45232,149060.0,59.5,46.78,72.51,100.65,Good,51.22917471458982,9.994059250720515
2019-2020,June,ASSAM,GOALPARA,202064.0,228.01534842374537,12.0,25.0,29.0,4567.0,4893.0,7052.0,45976.0,47625.0,318.81104,15569.0,20996.0,75111.0,183821.0,0.0,154269.0,323538.0,4596.0,317.61062,85195.0,92.0,78.31,74.11,100.56,Good,48.68833012465239,9.653101264828043
2019-2020,June,ASSAM,BARPETA,1151289.0,228.01534842374537,20.0,163.5,1276.0,7271.0,28977.0,10616.0,16346.0,4229.0,2386.357643,55283.0,89416.0,161862.0,374564.0,19.0,298521.0,629320.0,8547.0,2386.357643,460666.0,59.5,48.93,60.7,100.65,Good,54.22131106354327,10.920238814723918
2019-2020,June,ASSAM,NALBARI,1196837.0,228.01534842374537,26.0,28.0,199.0,3185.0,30821.0,6167.0,19678.0,4014.0,2164.03258,44368.0,56834.0,94550.0,168042.0,38.0,158512.0,264291.0,3384.0,2164.03258,445779.0,59.5,56.98,73.44,100.09,Good,59.64848087211063,10.700296306368244
2019-2020,June,ASSAM,DARRANG,267064.0,228.01534842374537,17.0,24.0,2146.0,1298.0,6943.0,5451.0,1035.0,703.0,570.5854197,14833.0,22996.0,75944.0,179399.0,1.0,166752.0,336784.0,3444.0,570.39443,112835.0,79.0,62.63,60.19,100.19,Good,45.543081942045674,9.604677122296504
2019-2020,June,ASSAM,LAKHIMPUR,2043383.0,228.01534842374537,27.0,148.0,863.0,4272.0,84170.0,15332.0,460323.625,94851.0,3346.709113302,73282.0,129735.0,131621.0,335379.0,227.5,220109.0,474268.0,5135.0,3289.90837,1003176.0,66.0,41.66,70.63,100.65,Good,59.79810003225674,11.202083937374669
2019-2020,June,ASSAM,DHEMAJI,1207791.0,228.01534842374537,22.0,128.0,970.0,4491.0,35787.0,12526.0,460323.625,113522.125,2318.3523907,53384.0,96912.0,111062.0,390666.0,9.0,162918.0,511651.0,5461.0,2222.27714,582688.0,64.0,36.73,83.875,99.96,Good,68.17049067629114,10.885285086612402
2019-2020,June,ASSAM,Morigaon,578677.0,228.01534842374537,15.0,31.0,2027.0,5224.0,72043.0,27103.0,57402.0,31183.0,1096.621574625,37215.0,52118.0,125254.0,262408.0,0.0,180850.0,351267.0,7251.0,1071.84038,223928.0,82.0,56.19,79.19,100.45,Good,69.25850152059718,10.52449405531839
2019-2020,June,ASSAM,JORHAT,166346.0,228.01534842374537,11.0,12.0,99.0,1534.0,11779.0,7755.0,24451.0,12120.0,322.84645,14847.0,16506.0,76883.0,126342.0,0.0,137952.0,205254.0,1633.0,322.84645,71027.0,59.5,68.73,81.55,100.65,Good,55.73170378102529,9.605620455025981
2019-2020,June,ASSAM,HAILAKANDI,135849.0,228.01534842374537,14.0,11.0,269.0,1923.0,15721.0,10930.0,1490.0,2555.0,345.565202441,9267.0,10029.0,79848.0,154210.0,0.0,131758.0,234324.0,2192.0,237.724193,34769.0,90.0,48.8,37.49,100.65,Good,60.60201278100761,9.134322885552267
2019-2020,June,ASSAM,BAKSA,898576.0,228.01534842374537,16.0,77.0,1339.0,6654.0,64076.0,23959.0,379799.0,113522.125,1769.20178,55203.0,64347.0,154330.0,280131.0,0.0,240452.0,407802.0,7993.0,1755.00178,438628.0,83.0,61.94,65.96,100.65,Good,64.18328814066841,10.91879069340793
2019-2020,June,ASSAM,CHIRANG,623510.0,228.01534842374537,21.0,15.0,884.0,1509.0,33121.0,11981.0,338810.0,83775.0,1188.95248,29604.0,43906.0,83411.0,186984.0,4.0,112255.0,240954.0,2393.0,1188.95248,302169.0,77.0,51.39,72.94,100.54,Good,74.30493073805175,10.295698544965877
2019-2020,June,ASSAM,CHARAIDEO,78535.0,228.01534842374537,11.0,13.0,282.0,748.0,959.0,1252.0,3304.0,2088.0,152.073602964,6980.0,8533.0,39579.0,76962.0,0.0,69761.0,121085.0,1030.0,137.90114,37009.0,59.5,68.75,78.81,100.65,Good,56.73513854445894,8.850947451970402
2019-2020,June,ASSAM,MAJULI,432140.0,228.01534842374537,22.0,13.0,353.0,1222.0,57072.0,6456.0,169580.0,34191.0,827.5536788,18995.0,28205.0,29735.0,67224.0,11.0,39017.0,80647.0,1575.0,827.48367,170328.0,90.0,73.16,70.43,100.65,Good,76.21036983878821,9.851983709669012
2018-2019,,ASSAM,NALBARI,1083192.0,228.01534842374537,26.0,27.0,1710.0,4506.0,30948.0,5345.0,17730.0,3432.0,2343.404529797,36599.0,45097.0,74202.0,136899.0,227.5,147543.0,248497.0,6216.0,1751.69821,321174.0,59.5,56.58,54.99,100.65,Good,50.29177934568227,10.507803519389457
2018-2019,,ASSAM,SIVASAGAR,856156.0,228.01534842374537,15.0,11.0,647.0,1781.0,4853.0,5273.0,16285.0,10536.0,207.283509464,5881.0,7344.0,57069.0,120002.0,0.0,103783.0,193311.0,2428.0,170.15489,29101.0,59.5,86.42,57.36,100.65,Good,54.988774654808594,8.67965211911394
2018-2019,,ASSAM,TINSUKIA,943944.0,228.01534842374537,19.0,32.0,1241.0,4522.0,6327.0,2459.0,38471.0,15462.0,972.379588263,17045.0,20399.0,80564.0,138844.0,6.0,146081.0,220490.0,5763.0,649.534664,125570.0,74.0,82.9,46.88,100.64,Good,55.15022487524045,9.743670851082243
2018-2019,,ASSAM,CHIRANG,696959.0,228.01534842374537,19.0,22.0,662.0,4141.0,32515.0,11652.0,297992.0,83274.0,2022.32861879,27693.0,37622.0,82251.0,185234.0,21.0,109566.0,236529.0,4803.0,842.40766,233484.0,74.0,61.39,54.66,100.65,Good,75.06982092985051,10.22897106221466
2018-2019,,ASSAM,CHARAIDEO,0.0,228.01534842374537,10.0,18.0,419.0,1511.0,1854.0,1195.0,3012.0,2095.0,193.6731315,10430.0,12439.0,37905.0,74147.0,6.0,64888.0,113128.0,1930.0,178.22833,42761.0,59.5,71.26,58.68,100.65,Good,58.416039945752686,9.25253742067597
2018-2019,,ASSAM,SOUTH SALMARA-MANKACHAR,0.0,228.01534842374537,14.0,1.0,11.0,595.0,220.0,514.0,897.0,75.0,140.80394694,2276.0,2362.0,14689.0,21587.0,0.0,38982.0,55512.0,606.0,39.53322,13414.0,61.0,84.66,83.56,100.65,Good,37.681494022882354,7.7306140660637395
2019-2020,April,ASSAM,BONGAIGAON,129334.0,228.01534842374537,11.0,15.0,242.0,1984.0,6521.0,11509.0,1595.0,2513.0,175.26155368,11443.0,16029.0,61731.0,165549.0,0.0,120081.0,294695.0,2226.0,146.02322,52892.0,59.5,50.9,68.84,100.65,Good,51.40779973517875,9.345220854170002
2019-2020,April,ASSAM,BARPETA,233488.0,248.03003516274,13.0,117.0,501.0,7636.0,7149.0,10803.0,4444.0,4278.0,577.704117,17218.0,25652.0,160226.0,374466.0,0.0,295254.0,627788.0,8137.0,577.704117,85961.0,59.5,41.02,59.61,100.65,Good,54.26717334904861,9.753768704286186
2019-2020,April,ASSAM,NALBARI,323066.0,228.01534842374537,13.0,13.0,69.0,3094.0,7049.0,6161.0,5060.0,4009.0,422.07023,23842.0,29142.0,93256.0,166022.0,0.0,155582.0,259625.0,3163.0,422.07023,121023.0,59.5,52.7,71.97,100.38,Good,59.940095897983056,10.079245952188407
2019-2020,April,ASSAM,SONITPUR,220943.0,228.01534842374537,9.0,15.0,37.0,2791.0,8094.0,6618.0,13054.0,12915.0,246.72692,23536.0,24132.0,101243.0,183013.0,0.0,162998.0,261430.0,2828.0,246.72692,94805.0,59.5,73.37,83.875,100.65,Good,62.11303206174309,10.066328930041957
2019-2020,April,ASSAM,GOLAGHAT,240662.0,228.01534842374537,9.0,19.0,255.0,5940.0,14599.0,13444.0,32306.0,33966.0,330.88091,26670.0,32767.0,121093.0,253823.0,0.0,174045.0,348397.0,6195.0,330.88091,96680.0,81.0,73.53,75.07,100.13,Good,69.575684449424,10.191332111786215
